Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Type of product,Nature of data points,Observation-level footnotes,Source details,Value
2010,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.945
2011,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,0.38
2012,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.28
2013,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.409
2014,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.13
2015,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,0.135
2016,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.127
2017,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,0.336
2018,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.71
2019,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.438
2020,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.378
